subjectID,Start,Object_1,Object_2,congruence,correctness,tooSlow,trialNumber,displayedResponseTime,attention
13,SB,S,B,True,True,False,13,533.3333333333334,
13,BS,B,S,True,False,False,14,333.33333333333337,
13,BS,B,B,False,False,False,15,133.33333333333334,
13,BS,B,B,False,True,False,16,450.00000000000006,
13,BS,B,S,True,False,False,17,66.66666666666667,
13,BS,S,S,False,False,True,18,916.6666666666669,
13,SB,S,S,False,False,False,19,100.0,
13,SB,S,B,True,False,False,20,516.6666666666667,
13,SB,B,S,True,True,False,21,150.0,
13,BS,B,B,False,False,False,22,283.33333333333337,
13,BS,S,S,False,True,False,23,800.0,
13,BS,B,S,True,False,False,24,550.0,
13,SB,S,B,True,False,True,25,933.3333333333334,
13,SB,B,S,True,False,False,26,150.0,
13,SB,S,S,False,False,False,27,500.00000000000006,
13,SB,B,B,False,False,False,28,633.3333333333334,
13,SB,B,S,True,False,False,29,583.3333333333334,
13,BS,S,B,True,False,False,30,200.0,
13,BS,B,S,True,True,False,31,66.66666666666667,
13,BS,S,S,False,False,False,32,116.66666666666669,
13,SB,S,S,False,True,False,33,633.3333333333334,
13,BS,S,S,False,True,False,34,550.0,
13,BS,S,B,True,False,False,35,866.6666666666667,
13,BS,B,S,True,False,False,36,600.0,
13,SB,B,S,True,False,False,37,716.6666666666667,
13,BS,B,B,False,False,True,38,933.3333333333334,
13,SB,S,S,False,True,False,39,183.33333333333331,93.0
14,SB,S,S,False,True,False,0,950.0,
14,SB,B,S,True,False,True,1,950.0,
14,BS,B,S,True,True,False,2,400.0,
14,BS,B,B,False,True,False,3,566.6666666666667,
14,SB,S,S,False,True,False,4,500.00000000000006,
14,SB,B,S,True,True,False,5,383.33333333333337,
14,BS,B,S,True,True,False,6,366.6666666666667,
14,BS,B,B,False,False,True,7,933.3333333333334,
14,BS,S,S,False,True,False,8,466.6666666666667,
14,BS,S,B,True,True,False,9,400.0,
14,BS,B,S,True,True,False,10,366.6666666666667,
14,BS,S,S,False,True,False,11,483.33333333333337,
14,BS,B,B,False,True,False,12,583.3333333333334,
14,SB,S,S,False,True,False,13,433.33333333333337,
14,BS,S,B,True,False,False,14,333.33333333333337,
14,SB,B,S,True,True,False,15,500.00000000000006,
14,SB,S,B,True,True,False,16,383.33333333333337,
14,BS,S,S,False,True,False,17,800.0,
14,SB,B,B,False,True,False,18,333.33333333333337,
14,SB,B,S,True,True,False,19,500.00000000000006,
14,SB,S,S,False,True,False,20,416.6666666666667,
14,BS,B,S,True,True,False,21,400.0,
14,SB,B,B,False,True,False,22,366.6666666666667,
14,BS,S,S,False,True,False,23,350.0,
